name,latitude,longitude,description,city,country,address
Arena da Baixada,-25.448333,-49.276944,Wikidata: Q606803,,,
Arena Lviv,49.775278055,24.027778055,Wikidata: Q215399,,,
Argoules Communal Cemetery,50.336724,1.830791,Wikidata: Q2549487,Argoules,France,
Arleux-du-Nord Communal Cemetery,50.282061,3.111524,Wikidata: Q2043492,Arleux,France,
Arlington National Cemetery,38.878087,-77.068769,Wikidata: Q216344,Arlington County,United States,
Arlington Town Hall,42.415897769,-71.156377673,Wikidata: Q133154812,Arlington,United States,
Armazéns Grandella,38.711734771,-9.139493942,Wikidata: Q679969,Santa Maria Maior,Portugal,
Armenian Cemetery,55.766522222,37.553722222,Wikidata: Q685338,Presnensky District,Russia,
"Armenian cemetery in Hyderabad, India",17.341028,78.48972,Wikidata: Q4793252,Hyderabad,India,
Armenian Cemetery in Julfa,38.974172222,45.564802777,Wikidata: Q2471315,Julfa,Azerbaijan,
Armenian cemetery of Khojivanq,41.698422222,44.818630555,Wikidata: Q4793209,Tbilisi,Georgia,
Armenian Church of the Holy Nazareth,22.579,88.351,Wikidata: Q3585462,"Ward No. 45, Kolkata Municipal Corporation",India,
Arneke Churchyard,50.831693,2.411787,Wikidata: Q2753479,Arnèke,France,
Arney's Mount Friends Meetinghouse and Burial Ground,40.0092,-74.6972,Wikidata: Q4794742,Springfield Township,United States,
Arnold Burying Ground,41.4861,-71.3119,Wikidata: Q4794987,Rhode Island,United States,
Arnos Vale Cemetery,51.44,-2.5675,Wikidata: Q4795375,City of Bristol,United Kingdom,
Arras Communal Cemetery,50.289373,2.794034,Wikidata: Q2689827,Arras,France,
Arry Communal Cemetery,50.273333,1.718338,Wikidata: Q2216665,Arry,France,
Arsenal Stadium,51.557696,-0.102966,Wikidata: Q205309,,,
Arshakuni Palace,41.7014,44.793,Wikidata: Q42630542,Mtatsminda District,Georgia,
Arskoe cemetery,55.793333333,49.155833333,Wikidata: Q4070070,Waxitof City District,Russia,
Art Institute of Chicago building,41.8796,-87.6237,Wikidata: Q4796889,Chicago,United States,
Arthur C. and Mary S.A. Nash House,35.91388889,-79.04527778,Wikidata: Q48839549,Chapel Hill,United States,
Arthur Street Cemetery,-45.8733,170.494,Wikidata: Q4800382,Dunedin City,New Zealand,
Artificial Mountain of Buen Retiro,40.421108,-3.680558,Wikidata: Q104248079,Madrid,Spain,
Artillery Park,41.496397,-71.374692,Wikidata: Q4801143,Jamestown,United States,
Arts Centre Melbourne,-37.820277777,144.968333333,Wikidata: Q4801443,City of Melbourne,Australia,
Ås 14:1,63.235179,14.538876,Wikidata: Q29380669,Krokom Municipality,Sweden,
Ås 15:2,63.234563,14.539713,Wikidata: Q29380671,Krokom Municipality,Sweden,
Ås Abbey,57.225303,12.220417,Wikidata: Q1478626,Varberg Municipality,Sweden,
Ascq Communal Cemetery,50.619063,3.165969,Wikidata: Q1893713,Villeneuve-d'Ascq,France,
Ashford Designer Outlet,51.136388888,0.8775,Wikidata: Q4804999,Ashford,United Kingdom,
Ashmolean Museum,51.75556,-1.26056,Wikidata: Q636400,,,
"Asilo de Convalecientes, Madrid",40.437897222,-3.697077777,Wikidata: Q5708305,Almagro,Spain,
Aşiyan Asri Cemetery,41.0825,29.055277777,Wikidata: Q4833524,Beşiktaş,Turkey,
Askold's Grave,50.44388889,30.55138889,Wikidata: Q2994456,Kyiv,Ukraine,
Assens Tumulus,46.61144,6.63321,Wikidata: Q3542045,Assens,Switzerland,
Assistens Cemetery,55.691111111,12.548888888,Wikidata: Q742670,Copenhagen Municipality,Denmark,
Astana Cemetery,42.88155,89.52711389,Wikidata: Q746537,Turpan,China,
Astrabudua,43.314722,-2.986944,Wikidata: Q3035003,Greater Bilbao,Spain,
AT&T Stadium,32.74769,-97.09288,Wikidata: Q838284,,,
Ata-Beyit,42.723117,74.593655,Wikidata: Q20622014,Süymönkul Çokmorov,Kyrgyzstan,
Atalaya Castle,33.513889,-79.085278,Wikidata: Q4812699,Georgetown County,United States,
Athenaeum,62.237667,25.734222,Wikidata: Q28464253,Jyväskylä,Finland,
Athenaeum,35.614161,-87.041394,Wikidata: Q4813390,Tennessee,United States,
Athies Communal Cemetery,50.303715,2.836207,Wikidata: Q3265457,Athies,France,
Atlantis House,53.0748,8.80547,Wikidata: Q1589900,Mitte,Germany,
Atocha Railway Station,40.4075,-3.691666666,Wikidata: Q23093,Madrid,Spain,
Atocha-Cercanías,40.40596,-3.68876,Wikidata: Q2842655,Madrid,Spain,
Au-Friedhof,47.549694444,7.948527777,Wikidata: Q758357,Bad Säckingen,Germany,
Auberge d'Italie,35.89646,14.51128,Wikidata: Q16863312,Valletta,Malta,
Aubers Ridge British Cemetery,50.589402,2.836421,Wikidata: Q658901,Aubers,France,
Aubigny-au-Bac Communal Cemetery,50.264177,3.158709,Wikidata: Q2219207,Aubigny-au-Bac,France,
Auby Communal Cemetery,50.409462,3.050491,Wikidata: Q2499624,Auby,France,
Auchonvillers Communal Cemetery,50.078452,2.632931,Wikidata: Q2308542,Auchonvillers,France,
Auditorio de Tenerife,28.456067,-16.251278,Wikidata: Q28964,Santa Cruz de Tenerife,Spain,
Auditorium del Parco,42.353517,13.402604,Wikidata: Q3629510,L'Aquila,Italy,
Auditorium Niccolò Paganini,44.801618,10.343205,Wikidata: Q3629506,Parma,Italy,
Audrey Jones Beck Building,29.7251,-95.3895,Wikidata: Q107317766,Texas,United States,
Augsburg Protestant Cemetery,48.354,10.9003,Wikidata: Q204223,Augsburg,Germany,
Aukštųjų Rusokų pilkapynas,54.80833333,25.20222222,Wikidata: Q16444856,Avižieniai Eldership,Lithuania,
Auld Aisle Cemetery,55.9324,-4.1384,Wikidata: Q4821737,East Dunbartonshire,United Kingdom,
Ausstellungsgebäude Sammlung Goetz,48.1661,11.6231,Wikidata: Q114496506,,Germany,
Austin City Hall,30.2649,-97.7472,Wikidata: Q39070904,Austin,United States,
Australian War Memorial,-35.280815,149.148707,Wikidata: Q782783,Canberra,Australia,
