match_type,wikidata_name,apify_name,wikidata_qid,wikidata_city,wikidata_country,apify_city,apify_country,apify_rating,distance_meters,wikidata_id,apify_id
location_only,"Cagnicourt Communal Cemetery","Cagnicourt British Cemetery",Q2005951,"Cagnicourt","France","Cagnicourt","France",4.5,102,b43f28e0-ea44-4725-ad7d-40dd54bd6b0a,368ec1ff-106b-4066-9d39-4d901d9bfa45
location_only,"Calhoun County Courthouse","Calhoun County Family Court",Q5019765,"South Carolina","United States","St Matthews","United States",4.8,77,cfe34241-79a0-45fb-a1a1-b5b5656b1d79,3ba80752-0365-4f2d-8c81-f1493196cf9b
similar_name,"California Academy of Sciences building","California Academy of Sciences",Q134486471,"San Francisco","United States","San Francisco","United States",4.6,5,cbe6170a-6c1b-420e-b5b1-123c6b234067,d405abe8-70f8-4664-accc-6bb64f1d9cb7
location_only,"Califórnia Building (São Paulo)","Condomínio Edifício e Galeria Califórnia",Q10270276,"São Paulo","Brazil","São Paulo","Brazil",4.2,81,02f89a27-e1de-4c67-af57-ce04185ea5e7,c50d3195-d500-4bb4-ae3d-5b4a80eb0e7c
exact_name,"Caltrans District 7 Headquarters","Caltrans District 7 Headquarters",Q5024011,"Los Angeles","United States","Los Angeles","United States",3.9,124,2c6555f1-3680-4d31-a4bc-09231e07e2a1,146ceb8a-aa5f-40c1-941a-de0b5d33bb91
similar_name,"Camp Nou","Spotify Camp Nou",Q159848,"","","Barcelona","Spain",4.6,8,3ad125b8-0957-4f8e-8f01-7a9a9b21c46b,a68bf33f-9bfd-47c3-b55e-e0019242aa69
exact_name,"Camperdown Cemetery","Camperdown Cemetery",Q5028318,"Inner West","Australia","Newtown","Australia",4.7,90,3843de5b-da7f-4f77-85fe-c686a9ae6db3,18a3ad3e-20ed-4c41-987c-c061fe66aa42
location_only,"Campo Santo","Berlin Cathedral",Q1031432,"Bezirk Mitte","Germany","Berlin","Germany",4.6,96,e0392ca2-a88e-455f-a7d0-6e6f79135d91,858f269c-a849-47f0-83ba-646ea87dc85b
similar_name,"Campo Santo","Campo Santo cemetery Sint-Amandsberg",Q5395397,"Ghent","Belgium","Ghent","Belgium",4.5,142,7769c124-3033-4f9c-ac84-de2f49fa1395,935dd794-f290-49f9-ae6c-25b1eb4f6450
exact_name,"Campo Santo d'Orléans","Campo Santo d'Orléans",Q2935536,"Orléans","France","Orleans","France",,45,91799a33-d0b1-4566-9972-597b8dae2a89,b87ecb5c-0615-4261-bcb4-1ad911183bd2
location_only,"Campo Santo Teutonico","Teutonic Cemetery",Q27333,"Roma Capitale","Italy","Città del Vaticano","Italy",4.7,31,ddf65469-f855-40bf-b40b-134ad012325c,796ec3ba-c077-48dc-b6e1-4864d9108b02
location_only,"Campo Verano","Verano Monumental Cemetery",Q27426,"Roma Capitale","Italy","Rome","Italy",4.2,2,40f71fc1-3159-4c65-a6ed-44dbbce0be38,cac2d8c2-4e78-408b-8c02-ff495929d5bd
location_only,"Canadian Broadcasting Centre","Canadian Broadcasting Corporation",Q2935781,"Ontario","Canada","Toronto","Canada",4.4,75,d70c5dbf-b0e7-43f9-90c2-e0f23c5e1989,fc094eec-e941-4999-b467-ccd40eb203f5
