wikidata_id,wikidata_name,wikidata_qid,wikidata_city,wikidata_country,apify_id,apify_name,apify_rating,apify_city,apify_country,apify_gpid,distance_meters
9f5fd3d7-b5c8-4bdc-bf62-208029bd5e9a,"Kirche in Sagritz",Q2082938,"Großkirchheim","Austria",e6b2d28e-a6e4-402d-a05e-1ad7474c218c,"Pfarrkirche Sagritz",5,"Sagritz","Austria",ChIJjSFYEFxBd0cRJ1SeYw1eXh0,10
ae1d098c-4c69-4bfe-9439-aac6c8108e99,"Kirche Rangersdorf",Q2082908,"Rangersdorf","Austria",18e4873c-5dfa-43cf-9240-b132210a7f44,"Pfarre Rangersdorf",,"Rangersdorf","Austria",ChIJ0-bvx7Zad0cRx2uzEjfRdxw,33
63f977b0-e4e5-40ce-b6fd-28bd21b92e7f,"Kirche Sankt Jakob bei Straßburg",Q2083050,"Strassburg","Austria",90c91364-a7a0-4a56-a25c-0fad9fb1e34a,"Pfarrkirche St. Jakob ob Gurk",5,"Straßburg","Austria",ChIJwRsJJC9dcEcRYhD-0qmu4GE,62
9c88c58d-8cbf-4f50-8db2-8e283516b5b0,"Kleinhans Music Hall",Q6420299,"Buffalo","United States",eaebc168-9d40-4fc8-9f72-095831b7eed6,"Kleinhans Music Hall",4.7,"Buffalo","United States",ChIJTe_UalUS04kRBxFBxFYfN4A,49
61f4b17d-961d-4029-9028-e8f884162fd4,"Knights of Columbus Building",Q6422443,"New Haven","United States",f436bc76-0b96-40eb-a1bd-46b342c77a86,"Knights of Columbus Supreme Council",3.7,"New Haven","United States",ChIJM2He8kvY54kRBBRYTkwhzVU,24
73ac6c9a-da37-4777-8f0d-32e54b955782,"Koga Park Café",Q117348221,"Koga","Japan",b2a9187f-e397-492f-bb97-29b272c43af2,"Koga Park Cafe, SANAA",3.3,"Koga","Japan",ChIJjQHe97FKH2AR1VyBESotHK8,4
80a70d50-e149-4bb3-82d7-e2f48d3d8b62,"Komunariv Cemetery",Q4222825,"Sevastopol","Ukraine",121e0e4f-4339-4e1c-8d20-30a35516c935,"Komunariv Cemetery",5,"Sevastopol","Russia",ChIJfz9wXLoklUARrx_t_R7_R4A,119
9b5fffe8-84b6-434e-97ad-284bba892c5c,"Königsgrab von Seddin",Q1446501,"Groß Pankow","Germany",a7f76cff-c340-4a11-9c68-99f674698dee,"Königsgrab von Seddin",4.7,"Groß Pankow (Prignitz)","Germany",ChIJ0b4eWwa_rkcR2M73Xp7Eofw,74
5ee0991b-5213-4a65-99ed-76bc225555f0,"Kozel Castle",Q370663,"Šťáhlavy","Czech Republic",aa3ef444-7442-40fc-91fa-1169d0ece285,"Kozel",4.6,"Stahlavy","Czech Republic",ChIJs9PrJGbkCkcRXuCqpbggkcA,26
7572695e-5725-4edb-bcec-22f432df9351,"Krasny Bor Forest, Karelia",Q4239674,"Derevyannoye","Russia",72d8a455-9f36-4446-a466-0658f0d209ea,"Krasnyy Bor",4.6,"Prionezhskiy Rayon","Russia",ChIJu928-h2OoUYRf3cWe5_2Oyw,85
68c2cddb-7a16-4673-952f-97759eb35e2e,"Kremlin",Q133274,"","",59e068bf-3d4d-4ce2-ac70-c9ac292709ed,"The Moscow Kremlin",4.8,"Moscow","Russia",ChIJc-UVs1BKtUYRaC6bPVq_hqg,82
8c8b167d-2e2c-49ce-a0f5-31dd4ba53f15,"Kremlin Wall Necropolis",Q1130019,"Tverskoy District","Russia",ccc90e29-ec1f-42a6-87f6-ffa569f8bb38,"Мавзолей В.И. Ленина на Красной площади",4.4,"Moscow","Russia",ChIJa7f1WVdKtUYRU7ChF9gsUN4,64
65d7e82b-ceb3-4f38-8dd1-d497a98f5e14,"Kulturpalast Dresden",Q1791798,"Dresden","Germany",171b030c-c2c7-4395-9e8a-1acc88b3f886,"Palace of Culture",4.6,"Dresden","Germany",ChIJhzY-wmfPCUcRid1Qymhevas,63
8ce5674d-3944-4906-b7be-d9635684b629,"Kunsthal",Q1668856,"Rotterdam","Netherlands",1609d1a3-975a-4d7d-8d8b-2d0a81f46d3d,"Kunsthal Rotterdam",4.4,"Rotterdam","Netherlands",ChIJ82GieZ40xEcRm74x2QUsqLc,28
b0e0379f-2d7a-4dbf-a44c-28063f39bcf0,"Kunstlinie Almere Flevoland",Q2131209,"Almere","Netherlands",0cd52e72-bfd8-4253-a329-f4617b2fadae,"Kunstlinie",4.3,"Almere","Netherlands",ChIJRcrS7uYWxkcRFOodCXLJoEI,58
a41b833e-a3c4-4ee1-9d4f-9042ac877c85,"Kuwait National Assembly Building",Q15156679,"Kuwait City","Kuwait",ee9f6ac2-7360-4e33-8643-8ad36358eb13,"National Assembly of Kuwait",4.2,"Kuwait City","Kuwait",ChIJ1UIWmpedzz8RtAI6NJOXWrg,85
a34a1368-3a85-4635-bf34-58d2541fef9e,"Kvecių pilkapynas",Q16457671,"Kretinga Municipality","Lithuania",273c144a-019b-464b-913d-013ecb003f33,"Kvecių kapinynas",,"Kveciai","Lithuania",ChIJn78KPgAl5UYRC03KIWzYo6s,56
af674fec-e376-43c1-85d7-61ba84540798,"L'Auditori",Q2713088,"Fort Pienc","Spain",16ee8591-d17b-4df5-94c1-97976d6d8253,"L'Auditori",4.6,"Barcelona","Spain",ChIJ2bpMNB6jpBIR2NwxeNl0Glk,75
a63232e8-4a6c-45c2-9f5b-73fee2b33073,"La Bombonera",Q499855,"","",3d1acd3f-de08-4dde-a32e-44e9bd2e033f,"Estadio Alberto J Armando",4.7,"Buenos Aires","Argentina",ChIJc1RekrY0o5URDbRYiHSypRw,13
7d3faf0d-2ce3-4c4e-9c0b-7df4a4aca156,"La Chapelle d'Armentières Communal Cemetery",Q2752646,"La Chapelle-d'Armentières","France",2c111d53-ac7a-4106-90e9-d2b20993b57f,"commonwealth war graves ww1 (la chapelle d'armentières)",,"La Chapelle-d'Armentières","France",ChIJqZqUCQDV3EcRRchGfBYpJD8,21
9abe78bf-deba-41c9-ab02-34614591d12e,"La Concha Resort",Q6461934,"San Juan","United States",5a403048-abd9-46ff-993d-0736b18047bc,"La Concha Resort, Puerto Rico, Autograph Collection",4.4,"San Juan","Puerto Rico",ChIJB8qIpDlvA4wR3bDS1E_eyIw,76
79c3e6ab-458b-47fe-8a8b-01ade5fadafe,"La Florida Cemetery, Madrid",Q5391794,"Madrid","Spain",27e91b17-1c70-44f5-872a-6f1baea4bab5,"Cementerio de la Florida",4.2,"Madrid","Spain",ChIJ9Ug-RRMoQg0RHlqIQC36kRg,49
a61a72b3-2652-4c82-b295-145c608c4880,"La Loma Cemetery",Q6463476,"Caloocan","Philippines",d040a21f-562d-4ecf-8248-61206afe16ef,"Cremation Services and Funeral Service",4.5,"Caloocan","Philippines",ChIJNUVpcti1lzMR8wzjj3aJcT8,40
68a23f88-0f9d-4ea3-8b6d-8cfab8987468,"La Pyramide Inversée",Q3177458,"Paris","France",c5fc70ab-577d-4d5d-a565-40a025dae84d,"Louis XIV sous les traits de Marcus Curtius (copie)",4.6,"Paris","France",ChIJzWhmDCZu5kcRIN7HUvGgx_g,105
ae82a69e-2a28-4b49-90e1-137b24f4f458,"La Treille cemetery",Q2972582,"Marseille","France",114e4d5d-7fd6-44a3-aa5a-66f17016d428,"Cimetière La Treille - Marseille 11",,"Marseille","France",ChIJT_kD1O-9yRIRNRkoKw4bJSs,14
8d3cdb11-3f70-40c4-a9c9-52b0bdf728da,"La Vela",Q19788708,"Madrid","Spain",7fdf2418-38fe-4f89-bb5d-2d173965540d,"BBVA Head Office",4.2,"Madrid","Spain",ChIJIVww-vsrQg0RouPD2u_r2q8,103
